,mt,mr,mre,mp,ml
0,"Motorola G34 5G (Ocean Green, 128 GB)",4.2,"36,149 Ratings & 3,836 Reviews","₹11,999₹14,99920% off",1
1,"Motorola G34 5G (Ice Blue, 128 GB)",4.2,"36,149 Ratings & 3,836 Reviews","₹11,999₹14,99920% off",2
2,"Motorola G34 5G (Charcoal Black, 128 GB)",4.2,"36,149 Ratings & 3,836 Reviews","₹11,999₹14,99920% off",3
3,"MOTOROLA g24 Power (Ink blue, 128 GB)",4.2,"4,153 Ratings & 452 Reviews","₹7,999₹11,99933% off",4
4,"MOTOROLA g24 Power (Ink blue, 128 GB)",4.2,"3,895 Ratings & 367 Reviews","₹8,999₹12,99930% off",5
5,"MOTOROLA G04 (Satin Blue, 64 GB)",4.2,"3,997 Ratings & 395 Reviews","₹6,999₹9,99930% off",6
6,"MOTOROLA g24 Power (Glacier Blue, 128 GB)",4.2,"4,153 Ratings & 452 Reviews","₹7,999₹11,99933% off",7
7,"MOTOROLA G04 (Sea Green, 64 GB)",4.2,"3,997 Ratings & 395 Reviews","₹6,999₹9,99930% off",8
8,"Motorola G34 5G (Ice Blue, 128 GB)",4.2,"21,052 Ratings & 2,110 Reviews","₹10,999₹13,99921% off",9
9,"Motorola Edge 40 Neo (Black Beauty, 128 GB)",4.3,"38,641 Ratings & 4,752 Reviews","₹22,999₹27,99917% off",10
